FID,FID1,FID_,box,x,y,adj,bearing,sp,number,number_1,Lat,Long
0,0,976,B1,447797,207574,0,350,G,1,SP4779707574,51.764814,-1.3088056
1,1,977,B10,447763,207547,0,40,G,10,SP4776307547,51.764574,-1.309302
2,2,978,B100,447812,207582,0,190,G,100,SP4781207582,51.764885,-1.3085872
3,3,979,B101,447803,207555,0,20,G,101,SP4780307555,51.764643,-1.3087213
4,4,980,B102,447822,207527,40,150,G,102,SP4782207527,51.764389,-1.3084499
5,5,981,B103,447835,207497,40,80,G,103,SP4783507497,51.764119,-1.3082656
6,6,982,B104,447842,207451,330,20,G,104,SP4784207451,51.763704,-1.3081705
7,7,983,B105,447819,207428,330,270,G,105,SP4781907428,51.7635,-1.3085069
8,8,984,B106,447801,207406,330,50,G,106,SP4780107406,51.763303,-1.3087707
9,9,985,B107,447774,207456,130,50,G,107,SP4777407456,51.763755,-1.3091551
10,10,986,B108,447808,207496,190,130,G,108,SP4780807496,51.764112,-1.308657
11,11,987,B109,447799,207515,0,340,G,109,SP4779907515,51.764283,-1.3087848
12,12,988,B11,447749,207574,0,350,G,11,SP4774907574,51.764818,-1.3095011
13,13,989,B110,447774,207568,0,20,G,110,SP4777407568,51.764762,-1.3091397
14,14,990,B111,447750,207601,0,190,G,111,SP4775007601,51.765061,-1.3094829
15,15,991,B112,447767,207642,0,110,G,112,SP4776707642,51.765428,-1.309231
16,16,992,B113,447737,207672,0,60,G,113,SP4773707672,51.7657,-1.3096616
17,17,993,B114,447785,207707,0,60,G,114,SP4778507707,51.766011,-1.3089613
18,18,994,B115,447807,207692,160,120,G,115,SP4780707692,51.765874,-1.3086445
19,19,995,B116,447854,207708,100,150,G,116,SP4785407708,51.766014,-1.3079613
20,20,996,B117,447848,207749,0,160,G,117,SP4784807749,51.766383,-1.3080426
21,21,997,B118,447877,207748,0,350,G,118,SP4787707748,51.766372,-1.3076226
22,22,998,B119,447918,207771,10,300,G,119,SP4791807771,51.766575,-1.3070253
23,23,999,B12,447761,207644,270,300,G,12,SP4776107644,51.765446,-1.3093176
24,24,1000,B121,447973,207793,0,250,G,121,SP4797307793,51.766768,-1.3062254
25,25,1001,B122,447908,207821,30,180,G,122,SP4790807821,51.767025,-1.3071633
26,26,1002,B123,447861,207832,0,220,G,123,SP4786107832,51.767128,-1.3078429
27,27,1003,B124,447838,207801,0,220,G,124,SP4783807801,51.766851,-1.3081804
28,28,1004,B125,447826,207781,0,50,G,125,SP4782607781,51.766673,-1.308357
29,29,1005,B126,447802,207751,0,300,G,126,SP4780207751,51.766405,-1.3087089
30,30,1006,B127,447742,207723,0,250,G,127,SP4774207723,51.766158,-1.3095821
31,31,1007,B128,447732,207686,100,320,G,128,SP4773207686,51.765826,-1.3097321
32,32,1008,B129,447716,207691,180,340,G,129,SP4771607691,51.765873,-1.3099632
33,33,1009,B13,447722,207649,0,10,G,13,SP4772207649,51.765495,-1.309882
34,34,1010,B130,447706,207670,0,40,G,130,SP4770607670,51.765685,-1.310111
35,35,1011,B131,447700,207632,200,220,G,131,SP4770007632,51.765344,-1.3102031
36,36,1012,B133,447692,207565,0,40,G,133,SP4769207565,51.764742,-1.3103282
37,37,1013,B134,447698,207542,0,130,G,134,SP4769807542,51.764535,-1.3102444
38,38,1014,B136,447669,207520,180,220,G,136,SP4766907520,51.764339,-1.3106676
39,39,510,B137,447628,207478,0,320,G,137,SP4762807478,51.763965,-1.3112674
40,40,511,B138,447591,207503,30,220,G,138,SP4759107503,51.764193,-1.3118001
41,41,512,B139,447605,207444,30,340,G,139,SP4760507444,51.763662,-1.3116053
42,42,1015,B14,447779,207684,0,110,G,14,SP4777907684,51.765804,-1.3090513
43,43,513,B140,447545,207427,80,260,G,140,SP4754507427,51.763514,-1.312477
44,44,514,B141,447527,207415,90,60,G,141,SP4752707415,51.763407,-1.3127394
45,45,515,B142,447505,207457,80,250,G,142,SP4750507457,51.763787,-1.3130524
46,46,516,B142A,447516,207446,180,330,G,0,SP4751607446,51.763687,-1.3128946
47,47,517,B143,447535,207474,0,40,G,143,SP4753507474,51.763937,-1.3126155
48,48,518,B144,447506,207486,260,40,G,144,SP4750607486,51.764048,-1.313034
49,49,519,B145,447528,207498,100,80,G,145,SP4752807498,51.764154,-1.3127136
50,50,520,B146,447557,207511,90,70,G,146,SP4755707511,51.764268,-1.3122917
51,51,521,B147,447565,207497,110,290,G,147,SP4756507497,51.764141,-1.3121777
52,52,522,B148,447597,207544,0,280,G,148,SP4759707544,51.764561,-1.3117076
53,53,523,B149,447635,207593,0,260,G,149,SP4763507593,51.764999,-1.3111503
54,54,1016,B15,447812,207659,0,50,G,15,SP4781207659,51.765577,-1.3085766
55,55,524,B150,447612,207618,0,120,G,150,SP4761207618,51.765225,-1.3114801
56,56,525,B151,447646,207635,0,260,G,151,SP4764607635,51.765375,-1.3109852
57,57,526,B152,447592,207644,200,70,G,152,SP4759207644,51.765461,-1.3117664
58,58,527,B153,447548,207643,0,40,G,153,SP4754807643,51.765455,-1.312404
59,59,528,B154,447537,207585,0,230,G,154,SP4753707585,51.764935,-1.3125713
60,60,529,B155,447493,207531,60,220,G,155,SP4749307531,51.764453,-1.3132162
61,61,530,B156,447510,207594,0,230,G,156,SP4751007594,51.765018,-1.3129613
62,62,531,B157,447521,207642,0,150,G,157,SP4752107642,51.765449,-1.3127954
63,63,532,B158,447533,207681,0,220,G,158,SP4753307681,51.765798,-1.3126162
64,64,533,B159,447479,207695,0,140,G,159,SP4747907695,51.765929,-1.3133967
65,65,1017,B16,447830,207727,0,340,G,16,SP4783007727,51.766187,-1.3083065
66,66,534,B160,447456,207670,0,350,G,160,SP4745607670,51.765706,-1.3137334
67,67,535,B161,447431,207646,0,280,G,161,SP4743107646,51.765492,-1.3140989
68,68,536,B162,447426,207601,90,270,G,162,SP4742607601,51.765088,-1.3141775
69,69,537,B163,447470,207579,0,260,G,163,SP4747007579,51.764887,-1.3135429
70,70,538,B164,447439,207560,70,60,G,164,SP4743907560,51.764719,-1.3139947
71,71,539,B165,447458,207520,70,60,G,165,SP4745807520,51.764357,-1.3137248
72,72,540,B166,447461,207499,110,20,G,166,SP4746107499,51.764168,-1.3136842
73,73,541,B168,447497,207428,0,90,G,168,SP4749707428,51.763527,-1.3131723
74,74,542,B169,447516,207381,0,220,G,169,SP4751607381,51.763103,-1.3129034
75,75,543,B170,447557,207398,140,40,G,170,SP4755707398,51.763252,-1.3123071
76,76,544,B170A,447555,207378,140,140,G,0,SP4755507378,51.763072,-1.3123388
77,77,545,B171,447581,207417,0,200,G,171,SP4758107417,51.763421,-1.3119568
78,78,546,B172,447622,207401,60,280,G,172,SP4762207401,51.763274,-1.3113649
79,79,1018,B173,447746,207410,30,50,G,173,SP4774607410,51.763344,-1.3095671
80,80,547,B174,447715,207419,330,240,G,174,SP4771507419,51.763427,-1.310015
81,81,1019,B175,447754,207474,250,220,G,175,SP4775407474,51.763919,-1.3094424
82,82,1020,B176,447669,207669,260,20,G,176,SP4766907669,51.765679,-1.3106472
83,83,1021,B177,447593,207741,290,150,G,177,SP4759307741,51.766333,-1.3117386
84,84,1022,B178,447527,207720,0,350,G,178,SP4752707720,51.76615,-1.3126978
85,85,1023,B179,447450,207767,90,0,G,179,SP4745007767,51.766579,-1.3138071
86,86,1024,B18,447896,207733,0,100,G,18,SP4789607733,51.766235,-1.3073493
87,87,1025,B180,447480,207789,330,160,G,180,SP4748007789,51.766774,-1.3133694
